,Price_A,Price_B,Spread,Zscore,Position_A,Position_B,Signal,Return_A,Return_B,Strategy_Return,Cumulative_Return,Transaction_Cost,Net_Return,Gross_Cumulative,Net_Cumulative
2022-06-15,220.7210693359375,254.25955200195312,-74.62341236090606,0.672232785785064,0,0,HOLD,-0.002135328532511749,0.003803429839861039,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-06-16,211.0436553955078,248.56048583984375,-77.68086756802029,0.48076754334562816,0,0,EXIT,-0.04384454084761913,-0.02241436405136743,-0.0,1.1525288077050966,0.0,-0.0,0.15252880770509658,0.09897930078308814
2022-06-17,214.74497985839844,246.07904052734375,-71.09712954816035,0.8930571471956177,0,0,HOLD,0.017538193488707998,-0.009983265457965351,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-06-21,212.20028686523438,244.68832397460938,-72.02638486663125,0.8348649308631684,0,0,HOLD,-0.011849836931424496,-0.005651503475282094,-0.0,1.1525288077050966,0.0,-0.0,0.15252880770509658,0.09897930078308814
2022-06-22,213.21240234375,244.48838806152344,-70.78202651598747,0.9127896614473395,0,0,HOLD,0.004769623516854171,-0.0008171044283530327,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-06-23,216.76910400390625,250.34202575683594,-74.02483180670441,0.7097173483268393,0,0,HOLD,0.01668149517128925,0.02394239555393307,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-06-24,222.89944458007812,257.2318420410156,-75.89760931760401,0.5924394894966682,0,0,HOLD,0.028280508905279333,0.02752161273501863,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-06-27,218.95718383789062,256.9500732421875,-79.51257120634432,0.36606182979245366,0,0,EXIT,-0.017686274407791136,-0.0010953884892026533,-0.0,1.1525288077050966,0.0,-0.0,0.15252880770509658,0.09897930078308814
2022-06-28,215.2461700439453,245.55186462402344,-69.98357891163613,0.962790382238473,0,0,HOLD,-0.016948582041924842,-0.044359623931380265,-0.0,1.1525288077050966,0.0,-0.0,0.15252880770509658,0.09897930078308814
2022-06-29,217.2703399658203,248.9331817626953,-71.8871015775544,0.843587187414567,0,0,HOLD,0.009403976486372478,0.013770276775740165,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-06-30,215.8245391845703,249.29669189453125,-73.75515084714363,0.7266054224950104,0,0,HOLD,-0.006654386334910889,0.0014602719061473923,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-01,226.7357635498047,253.66876220703125,-67.92246465371232,1.091862343839255,0,0,HOLD,0.050555995191553516,0.017537618647381237,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-05,233.4829559326172,257.8954162597656,-66.08489686784361,1.2069352844997085,0,0,HOLD,0.029757953827740158,0.016662099093166294,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-06,233.97451782226562,257.759033203125,-65.43491425079827,1.2476387685816441,0,0,HOLD,0.0021053437827398547,-0.0005288308672506403,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-07,230.84193420410156,260.5858459472656,-71.85108559732362,0.8458425952355992,0,0,HOLD,-0.013388567470170698,0.010966881389227412,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-08,229.68524169921875,260.3858337402344,-72.7754466080558,0.7879568722952968,0,0,HOLD,-0.0050107555582171726,-0.0007675482384861265,-0.0,1.1525288077050966,0.0,-0.0,0.15252880770509658,0.09897930078308814
2022-07-11,233.2227325439453,260.3132019042969,-69.15358759792207,1.0147664464284303,0,0,HOLD,0.015401472112688275,-0.00027893927597444357,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-12,237.65663146972656,259.1587829589844,-63.37873112549289,1.3764019307272155,0,0,HOLD,0.01901143545235584,-0.004434730689290678,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-13,236.84695434570312,261.0312194824219,-66.36340537418931,1.1894944079940295,0,0,HOLD,-0.0034069199711205256,0.007225055242422007,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-14,235.61318969726562,263.1217956542969,-70.02555523399326,0.9601617233727199,0,0,HOLD,-0.005209121864563571,0.00800891240526802,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-15,236.70237731933594,265.7850646972656,-72.0299851728821,0.8346394709749669,0,0,HOLD,0.004622778646092618,0.01012181083800412,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-18,234.46612548828125,266.36669921875,-74.94185585456495,0.652291083752998,0,0,HOLD,-0.009447525860873607,0.0021883642037856532,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-19,238.54339599609375,272.52935791015625,-78.023046937505,0.45933944334150745,0,0,EXIT,0.01738959305665788,0.023135995263226405,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-20,240.51937866210938,274.7745056152344,-78.65499770041345,0.4197651575928524,0,0,EXIT,0.008283535403545539,0.008238186602333997,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-21,247.32440185546875,277.2286071777344,-74.70062593116421,0.6673974852008748,0,0,HOLD,0.028293034977939557,0.00893132918938444,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-22,249.65701293945312,278.67388916015625,-74.04683499235534,0.708339455605699,0,0,HOLD,0.009431382696105661,0.00521332194803148,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-25,249.65701293945312,278.2738952636719,-73.58220745286303,0.7374355562733188,0,0,HOLD,0.0,-0.0014353475946018435,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
2022-07-26,245.10745239257812,271.02960205078125,-69.71689427178973,0.9794908196166737,0,0,HOLD,-0.018223243534434053,-0.026032960102227554,-0.0,1.1525288077050966,0.0,-0.0,0.15252880770509658,0.09897930078308814
2022-07-27,223.593505859375,271.6931457519531,-92.00160425896257,-0.4160316365941307,0,0,EXIT,-0.08777353084615791,0.0024482333152950897,0.0,1.1525288077050966,0.0,0.0,0.15252880770509658,0.09897930078308814
